[1;34m[src/utils/log.c:30 init_log] Log is written to /home/curry/code/ysyx_curry/am-kernels/kernels/demo/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:50 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:61 load_img] The image is /home/curry/code/ysyx_curry/am-kernels/kernels/demo/build/demo-riscv32-nemu.bin, size = 36736[0m
[1;34m[src/cpu/difftest/dut.c:85 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[src/cpu/difftest/dut.c:86 init_difftest] The result of every instruction will be compared with /home/curry/code/ysyx_curry/nemu/tools/spike-diff/build/riscv32-spike-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[src/utils/itrace.c:429 parse_elf] specified ELF file: /home/curry/code/ysyx_curry/am-kernels/kernels/demo/build/demo-riscv32-nemu.elf[0m
[1;34m[src/monitor/monitor.c:28 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:29 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:32 welcome] Build time: 14:29:41, Apr  8 2025[0m
0x80000000: 00 00 04 13 mv	s0, zero
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
0x80002dc0: 00 17 87 93 addi	a5, a5, 1
0x80002dc4: fe f6 1c e3 bne	a2, a5, -8
0x80002dbc: 00 b7 80 23 sb	a1, 0(a5)
